Suburbs
Brighton (Tas.)
Brighton (Vic.)
Brighton East
Brighton-le-Sands
Brightview
Brightwaters
Brim
Brimpaen
Bringelly
Brinkin
Brinkworth
Brinsmead
Brisbane City
Brisbane Grove
Broadbeach
Broadbeach Waters
Broadford
Broadmarsh
Broadmeadow
Broadmeadows (Vic.)
Broadview
Broadwater (Qld)
Broadwater (Richmond Valley - NSW)
Broadwater (Vic.)
Broadwater (WA)
Broadway
Broadwood
Brocklehurst
Brocklesby
Brockman
Brogo
Broke (NSW)
Broken Head
Broken Hill
Bromelton
Brompton
Bronte
Brookdale (NSW)
Brookdale (WA)
Brookfield (NSW)
Brookfield (Qld)
Brookfield (Vic.)
Brookhampton
Brooklands
Brooklet
Brooklyn (NSW)
Brooklyn (Tas.)
Brooklyn (Vic.)
Brooklyn Park
Brookstead
Brookton
Brookvale
Brookwater
Brooloo
Broome
Broomehill East
Broomehill Village
Broomehill West
Broomfield
Brooms Head
Brooweena
Broughton (Qld)
Broughton Vale
Broulee
Brown Hill (Vic.)
Brown Hill Creek
Brown Range
Brownlow Hill
Brownlow Ki
Browns Plains (Qld)
Brownsville
Bruah
Bruce (ACT)
Bruce Rock
Brucknell
Brukunga
Brungle
Brunswick (Vic.)
Brunswick (WA)
Brunswick East
Brunswick Heads
Brunswick West
Brushgrove
Bruthen
Buangor
Bucasia
Bucca (NSW)
Bucca (Qld)
Buccan
Buchan
Buchanan (NT)
Buchfelde
Buckajo
Buckland Park
Buddina
Buderim
Budgee Budgee (NSW)
Budgeree
Budgewoi
Budgewoi Peninsula
Buff Point
Buffalo
Buffalo River
Bugaldie
Bugle Hut
Bugle Ranges
Bukkulla
Bulahdelah
Bulart
Bulga (NSW)
Bulgarra
Bulgun
Bulimba
Bull Creek (WA)
Bulla (Vic.)
Bullaburra
Bullaring
Bulleen
Bullengarook
Bullfinch
Bulli
Bullioh
Bullsbrook
Buln Buln
Buln Buln East
Bunbartha
Bunbury (WA)
Bundabah
Bundaberg Central
Bundaberg East
Bundaberg North
Bundaberg South
Bundaberg West
Bundaburrah
Bundagen
Bundalaguah
Bundall
Bundalong
Bundamba
Bundanoon (NSW)
Bundarra
Bundeena
Bundook
Bundoora (Vic.)
Bungadoo
Bungalow
Bungarby
Bungaree (Vic.)
Bungendore
Bunglegumbie
Bungonia
Bungowannah
Bungundarra
Bungunya
Bungwahl
Buninyong
Bunjil
Bunkers Hill
Bunnan
Buntine
Bunya
Bunyan
Bunyip
Burbank
Burdell
Burdett
Burekup
Burketown
Burleigh Heads
Burleigh Waters
Burnett Heads
Burnie
Burnley
Burns Beach
Burnside (Qld)
Burnside (SA)
Burnside (Vic.)
Burnside Heights
Burnt Bridge
Buronga
Burpengary
Burpengary East
Burra (Palerang - NSW)
Burra (SA)
Burra Burri
Burrabadine
Burracoppin
Burradoo
Burraga
Burragate
Burramine
Burraneer
Burrangong
Burrawang
Burrell Creek
Burren Junction
Burrill Lake
Burringbar
Burroway
Burrum Heads
Burrum River
Burrumbeet
Burrumbuttock
Burrundulla
Burrup
Burswood
Burt Plain
Burton (SA)
Burua
Burwood (NSW)
Burwood (Vic.)
Burwood East
Burwood Heights
Busby
Bushfield
Bushland Beach
Bushy Park (Tas.)
Busselton
Bute
Butler (WA)
Buttaba
Buxton (NSW)
Buxton (Qld)
Buxton (Vic.)
Byabarra
Byaduk
Byangum
Byawatha
Byellee
Byfield
Byford
Byrneside
Byron Bay
Byrrill Creek
Bywong
Cabarita (NSW)
Cabarita (Vic.)
Cabarlah
Cabbage Tree Island (Ballina - NSW)
Cable Beach
Caboolture
Caboolture South
Cabramatta
Cabramatta West
Cabramurra
Cadell
Cadoux
Caffreys Flat
Cairnlea
Cairns City
Cairns North
Calala
Calamvale
Calarie
Calavos
Calder
Calder Park
Caldermeade
Calderwood
Calen
Calico Creek
California Gully
Calimo
Calingiri
Calista
Calivil
Callaghan
Callala Bay
Callala Beach
Callemondah
Callignee
Callington
Calliope (NSW)
Calliope (Qld)
Caloote
Caloundra
Caloundra West
Caltowie
Calulu
Calvert (NT)
Calvert (Qld)
Calwell
Camballin
Camberwell (NSW)
Camberwell (Vic.)
Cambewarra
Cambewarra Village
Cambooya
Cambrai
Cambrian Hill
Cambridge (Tas.)
Cambridge Gardens
Cambridge Park
Cambroon
Camden
Camden Head
Camden Park (NSW)
Camden Park (SA)
Camden South
Cameron Park
Camillo
Camira (Qld)
Cammeray
Camooweal
Camp Creek (Qld)
Camp Hill
Camp Mountain
Campania
Campaspe
Campbell
Campbell Town
Campbellfield
Campbells Creek
Campbelltown (NSW)
Campbelltown (SA)
Camperdown (NSW)
Camperdown (Vic.)
Campsie
Campwin Beach
Canada Bay
Canadian
Candelo
Cangai
Cania
Caniaba
Canina
Canley Heights
Canley Vale
Cann River
Canna
Canning Mills
Canning Vale
Cannington
Canningvale
Cannon Hill
Cannon Valley
Cannons Creek
Cannonvale
Canobolas
Canoelands
Canowindra
Canteen Creek
Canterbury (NSW)
Canterbury (Vic.)
Canton Beach
Canungra
Canyonleigh
Capalaba
Cape Barren Island
Cape Bridgewater
Cape Burney
Cape Cleveland
Cape Conway
Cape Jaffa
Cape Jervis
Cape Paterson
Cape Schanck
Cape Tribulation
Cape Woolamai
Capel
Capella
Capertee
Captain Creek
Captains Flat
Captains Mountain
Carabooda
Caragabal
Caramut
Carapooee
Caravonica
Carboor
Carbrook
Carbunup River
Carcoar
Cardiff (NSW)
Cardiff (WA)
Cardiff Heights
Cardiff South
Cardigan
Cardigan Village
Cardinia
Cardross
Cardup
Cardwell
Carey Bay
Carey Gully
Carey Park
Cargo
Carina (Qld)
Carina Heights
Carinda
Carindale
Carine
Caringbah
Caringbah South
Carisbrook
Carlingford
Carlisle
Carlsruhe
Carlton (NSW)
Carlton (Tas.)
Carlton (Vic.)
Carlton North
Carmel
Carmila
Carmoo
Carnamah
Carnarvon
Carnegie
Carngham
Carole Park
Caroline Springs
Carool
Caroona
Carpendale
Carpenter Rocks
Carrajung
Carramar (NSW)
Carramar (WA)
Carrara
Carrarang
Carrathool
Carrick (Tas.)
Carrickalinga
Carrington (Newcastle - NSW)
Carroll
Carrs Creek
Carruchan
Carrum
Carrum Downs
Carseldine
Carss Park
Carters Ridge
Cartwright
Cartwrights Hill
Carwoola
Casey
Cashmere
Casino
Cassilis (NSW)
Castaways Beach
Castella
Casterton
Castle Cove
Castle Donnington
Castle Doyle
Castle Hill (NSW)
Castle Hill (Qld)
Castle Rock
Castlecrag
Castlemaine
Castlereagh
Castletown
Casuarina (NSW)
Casuarina (NT)
Casuarina (WA)
Casula
Catalina
Catani
Cathcart (Vic.)
Catherine Field
Catherine Hill Bay
Cattai
Catterick
Caulfield
Caulfield East
Caulfield North
Caulfield South
Cavendish
Caversham
Caves Beach
Caveside
Cawarral
Cawdor (NSW)
Cawongla
Cecil Hills
Cecil Park
Cecil Plains
Cedar Creek (Gold Coast - Qld)
Cedar Creek (Moreton Bay - Qld)
Cedar Grove
Cedar Party
Cedar Pocket
Cedar Vale
Ceduna
Centenary Heights
Centennial Park (NSW)
Centennial Park (WA)
Central Mangrove
Central Tilba
Ceres
Cervantes
Cessnock
Chadstone
Chadwick
Chaffey
Chain Valley Bay
Chambers Flat
Champion Lakes
Chances Plain
Chandler (Qld)
Chandlers Hill
Changerup
Chapel Hill (Qld)
Chapel Hill (SA)
Chapman
Chapman Hill
Charbon
Charles Sturt University
Charleston
Charlestown (NSW)
Charleville
Charlton (Vic.)
Charlwood
Charmhaven
Charnwood
Chatswood
Chatswood West
Chatsworth (NSW)
Chatsworth (Qld)
Chelmer
Chelsea
Chelsea Heights
Cheltenham (NSW)
Cheltenham (SA)
Cheltenham (Vic.)
Chepstowe
Cherbourg
Chermside
Chermside West
Cherry Gardens
Cherrybrook
Cheshunt
Chester Hill
Chevallum
Chewko
Chewton
Chidlow
Chifley (ACT)
Chifley (NSW)
Chigwell
Chilcotts Grass
Childers (Qld)
Childers (Vic.)
Chilla Well
Chillagoe
Chillingham
Chiltern
Chinchilla
Chinderah
Chippendale
Chipping Norton
Chirnside Park
Chisholm (ACT)
Chisholm (NSW)
Chiswick
Chittaway Bay
Chittaway Point
Chittering
Christie Downs
Christies Beach
Christmas Hills (Vic.)
Christmas Island
Chudleigh
Chum Creek
Church Point
Churchable
Churchill (Qld)
Churchill (Vic.)
Churchlands
Chuwar
Ciccone
Cinnabar
City
City Beach
Clackline
Clagiraba
Clandulla
Clapham
Clare (Qld)
Clare (SA)
Claremont (Tas.)
Claremont (WA)
Claremont Meadows
Clarence
Clarence Gardens
Clarence Park
Clarence Point
Clarence Town
Clarendon (NSW)
Clarendon (Qld)
Clarendon (SA)
Clarendon (Vic.)
Clarendon Vale
Clarenza
Clarinda
Clarkefield
Clarkson
Claude Road
Clayfield
Claymore
Clayton
Clayton Bay
Clayton South
Clear Island Waters
Clear Mountain
Clearview
Cleland
Clematis
Clemton Park
Clermont
Cleve
Cleveland (Qld)
Cliftleigh
Clifton (Qld)
Clifton Beach (Qld)
Clifton Beach (Tas.)
Clifton Creek
Clifton Grove
Clifton Hill
Clifton Springs
Clinton (Qld)
Clinton (SA)
Clonbinane
Cloncurry
Clontarf (Moreton Bay - Qld)
Clontarf (NSW)
Closeburn
Clothiers Creek
Clovelly
Clovelly Park
Cloverdale
Cloverlea
Cloyna
Cluden
Clunes (NSW)
Clunes (Vic.)
Clybucca
Clyde (NSW)
Clyde (Vic.)
Coal Point
Coalcliff
Coalfalls
Coalstoun Lakes
Cobains
Cobaki
Cobar
Cobargo
Cobbitty
Cobden
Cobdogla
Cobram
Cobram East
Cobrico
Coburg
Coburg North
Cockatoo (Vic.)
Cockatoo Valley
Cockburn Central
Coconut Grove
Coconuts
Cocoroc
Coen
Coes Creek
Coffee Camp
Coffin Bay
Coffs Harbour
Cohuna
Coimadai
Colac
Colac East
Colac West
Colbinabbin
Coldstream (Vic.)
Coleambally
Colebee
Colebrook
Coledale
Coleraine
Coles Bay
Coleyville
Colignan
Collarenebri
Collaroy (NSW)
Collector
College Grove
College Park
Collendina
Collie (NSW)
Collie (WA)
Collingullie
Collingwood (Vic.)
Collingwood Heights
Collingwood Park (Qld)
Collingwood Park (WA)
Collinsvale
Collinsville (Qld)
Collinswood
Collombatti
Colo Heights
Colo Vale
Colonel Light Gardens
Colongra
Colosseum
Colyton
Comberton
Comboyne
Come By Chance
Comet
Commissariat Point
Como (NSW)
Como (WA)
Comobella
Compton
Cona Creek
Conara
Conargo
Concongella
Concord
Concord West
Concordia
Condah
Condamine
Condell Park
Conder
Condingup
Condobolin
Condon
Condong
Congarinni
Congarinni North
Congewai
Congo
Congupna
Coningham
Coniston
Conjola Park
Connellan
Connells Point
Connellys Marsh
Connewarre
Connolly
Conondale
Constitution Hill
Conway
Coober Pedy
Coobowie
Coochiemudlo Island
Coochin
Coochin Creek
Coodanup
Cooee
Cooee Bay
Coogee (NSW)
Coogee (WA)
Cook
Cookamidgera
Cookardinia
Cookernup
Cooks Gap
Cooks Hill
Cooks Myalls
Cooktown
Coolabunia
Coolac
Cooladar Hill
Coolagolite
Coolah
Coolamon
Coolana
Coolangatta (NSW)
Coolangatta (Qld)
Coolaroo
Coolbellup
Coolbinia
Coolgardie (WA)
Coolmunda
Coolongolook
Cooloola
Cooloola Cove
Cooloolabin
Cooloongup
Cooltong
Coolum Beach
Coolup
Cooma (NSW)
Coomalbidgup
Coomba Bay
Coomba Park
Coombabah
Coomealla
Coomera
Coominya
Coonabarabran
Coonalpyn
Coonamble
Coonamia
Coonarr
Coonawarra (NT)
Coonawarra (SA)
Coondle
Coongulla
Cooperabung
Coopernook
Coopers Gully
Coopers Plains
Coopers Shoot
Coorabell
Cooran
Cooranbong
Cooranga
Cooriemungle
Cooroibah
Coorow
Cooroy
Coorparoo
Coorumba
Cootamundra
Cootharaba
Coowonga
Cooya Beach
Cooyal
Cooyar
Copacabana
Copley (SA)
Copmanhurst
Coppabella (Qld)
Cora Lynn
Coragulac
Coraki
Coral Bay
Coral Cove
Coral Sea (Gladstone - Qld)
Coral Sea (Whitsunday - Qld)
Coralville
Coramba
Corbie Hill
Cordalba
Cordeaux Heights
Cordelia
Coreen
Corfield
Corinda
Corindi Beach
Corinella (Vic.)
Corio
Corlette
Corndale (NSW)
Cornubia
Corny Point
Coromandel East
Coromandel Valley
Coronet Bay
Corop
Cororooke
Corowa
Corrigin
Corrimal
Corryong
Cosmo Newbery
Cossack (NT)
Costello
Cotswold Hills
Cottage Point
Cottesloe
Cottles Bridge
Cottonvale (Qld)
Courabyra
Couridjah
Coutts Crossing
Cow Bay
Cowan
Cowandilla
Cowaramup
Cowell
Cowes
Cowley Beach
Cowra
Cowwarr
Coxs Creek
Crabbes Creek
Crabtree
Crace
Cracow
Cradoc
Crafers
Crafers West
Craigburn Farm
Craigie (WA)
Craigieburn
Craiglie
Craigmore
Craignish
Cranbourne
Cranbourne East
Cranbourne North
Cranbourne South
Cranbourne West
Cranbrook (Qld)
Cranbrook (WA)
Cranebrook
Crangan Bay
Cranley
Craven
Crawley
Crediton
Cremorne (NSW)
Cremorne (Qld)
Cremorne (Tas.)
Cremorne (Vic.)
Cremorne Point
Crescent Head
Cressy (Tas.)
Cressy (Vic.)
Crestmead
Crestwood
Creswick
Crib Point
Cringila
Croftby
Crohamhurst
Cromer (NSW)
Cronulla
Crookwell
Crossdale
Crosslands
Crossley
Crossroads
Croudace Bay
Crowdy Bay National Park
Crowdy Head
Crows Nest (NSW)
Crows Nest (Qld)
